borough,neighborhood,building_class_category,tax_class_at_present,block,lot,easement,building_class_at_present,address,apartment_number,zip_code,residential_units,commercial_units,total_units,land_square_feet,gross_square_feet,year_built,tax_class_at_time_of_sale,building_class_at_time_of_sale,sale_price,sale_date
5.0,ANNADALE,01 ONE FAMILY DWELLINGS,1,5391.0,7.0,,A5,4732 AMBOY ROAD,,10312.0,1.0,0.0,1.0,3654.0,910.0,2002.0,1.0,A5,764000.0,2022-06-30
5.0,ANNADALE,01 ONE FAMILY DWELLINGS,1,5395.0,4.0,,A1,26 EDWIN STREET,,10312.0,1.0,0.0,1.0,7654.0,2277.0,1980.0,1.0,A1,1098000.0,2022-08-19
5.0,ANNADALE,01 ONE FAMILY DWELLINGS,1,5395.0,32.0,,A1,541 SYCAMORE STREET,,10312.0,1.0,0.0,1.0,13320.0,4696.0,1985.0,1.0,A1,0.0,2022-04-20
5.0,ANNADALE,01 ONE FAMILY DWELLINGS,1,5399.0,37.0,,A2,255 KOCH BOULEVARD,,10312.0,1.0,0.0,1.0,8190.0,1528.0,1970.0,1.0,A2,890000.0,2022-01-03
5.0,ANNADALE,01 ONE FAMILY DWELLINGS,1,5402.0,17.0,,A2,6 WEAVER STREET,,10312.0,1.0,0.0,1.0,10500.0,2278.0,1980.0,1.0,A2,0.0,2022-12-27
5.0,ANNADALE,01 ONE FAMILY DWELLINGS,1,5403.0,36.0,,A1,107 NOEL STREET,,10312.0,1.0,0.0,1.0,5999.0,3250.0,1989.0,1.0,A1,1050000.0,2022-08-31
5.0,ANNADALE,01 ONE FAMILY DWELLINGS,1,5407.0,6.0,,A1,118 ELMBANK STREET,,10312.0,1.0,0.0,1.0,6200.0,2580.0,1975.0,1.0,A1,910000.0,2022-04-05
5.0,ANNADALE,01 ONE FAMILY DWELLINGS,1,5408.0,7.0,,A2,192 BATHGATE STREET,,10312.0,1.0,0.0,1.0,2500.0,768.0,1930.0,1.0,A2,430000.0,2022-05-16
5.0,ANNADALE,01 ONE FAMILY DWELLINGS,1,5425.0,31.0,,A1,7 SANDGAP STREET,,10312.0,1.0,0.0,1.0,2500.0,1222.0,1925.0,1.0,A1,0.0,2022-05-23
5.0,ANNADALE,01 ONE FAMILY DWELLINGS,1,5426.0,16.0,,A6,14 SANDGAP STREET,,10312.0,1.0,0.0,1.0,2499.0,612.0,1915.0,1.0,A6,250000.0,2022-12-21
5.0,ANNADALE,01 ONE FAMILY DWELLINGS,1,6205.0,63.0,,A5,26 SEGUINE PLACE,,10312.0,1.0,0.0,1.0,2266.0,1320.0,1986.0,1.0,A5,548888.0,2022-06-09
5.0,ANNADALE,01 ONE FAMILY DWELLINGS,1,6205.0,121.0,,A5,32 MAY PLACE,,10312.0,1.0,0.0,1.0,2474.0,2495.0,1986.0,1.0,A5,760000.0,2022-11-10
5.0,ANNADALE,01 ONE FAMILY DWELLINGS,1,6205.0,122.0,,A5,28 MAY PLACE,,10312.0,1.0,0.0,1.0,2474.0,2495.0,1986.0,1.0,A5,0.0,2022-08-29
