borough,neighborhood,building_class_category,tax_class_at_present,block,lot,easement,building_class_at_present,address,apartment_number,zip_code,residential_units,commercial_units,total_units,land_square_feet,gross_square_feet,year_built,tax_class_at_time_of_sale,building_class_at_time_of_sale,sale_price,sale_date
3.0,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6360.0,56.0,,A5,30 BAY 10TH STREET,,11228.0,1.0,0.0,1.0,1547.0,1428.0,1930.0,1.0,A5,0.0,2023-07-31
3.0,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6360.0,68.0,,A5,58 BAY 10TH STREET,,11228.0,1.0,0.0,1.0,1547.0,1428.0,1930.0,1.0,A5,925000.0,2023-08-03
3.0,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6361.0,22.0,,A5,43 BAY 10TH STREET,,11228.0,1.0,0.0,1.0,2900.0,1660.0,1930.0,1.0,A5,1275000.0,2023-12-07
3.0,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6362.0,23.0,,A9,43 BAY 11TH STREET,,11228.0,1.0,0.0,1.0,2280.0,1052.0,1901.0,1.0,A9,825000.0,2023-03-31
3.0,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6367.0,42.0,,S1,1730 86TH STREET,,11214.0,1.0,1.0,2.0,1342.0,1920.0,1926.0,1.0,S1,1505000.0,2023-04-21
3.0,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6367.0,43.0,,S1,1732 86TH STREET,,11214.0,1.0,1.0,2.0,1342.0,1920.0,1926.0,1.0,S1,1650000.0,2023-09-08
3.0,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6373.0,54.0,,S1,1948 86TH STREET,,11214.0,1.0,1.0,2.0,1917.0,2870.0,1931.0,1.0,S1,0.0,2023-11-28
3.0,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6373.0,77.0,,A9,60 BAY 23RD STREET,,11214.0,1.0,0.0,1.0,1933.0,2372.0,1925.0,1.0,A9,925000.0,2023-12-04
3.0,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6392.0,26.0,,A2,121 BAY 7TH STREET,,11228.0,1.0,0.0,1.0,1933.0,1320.0,1940.0,1.0,A2,950000.0,2023-11-01
3.0,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6401.0,10.0,,S1,1725 BATH AVENUE,,11214.0,1.0,1.0,2.0,1160.0,2320.0,1920.0,1.0,S1,990000.0,2023-10-31
