borough,neighborhood,building_class_category,tax_class_at_present,block,lot,easement,building_class_at_present,address,apartment_number,zip_code,residential_units,commercial_units,total_units,land_square_feet,gross_square_feet,year_built,tax_class_at_time_of_sale,building_class_at_time_of_sale,sale_price,sale_date
4.0,AIRPORT JFK,31 COMMERCIAL VACANT LAND,4,14260.0,80.0,,E1,N/A ROCKAWAY BLVD,,11434.0,0.0,1.0,1.0,268092.0,0.0,2023.0,4.0,V7,0.0,2023-10-25
4.0,AIRPORT LA GUARDIA,01 ONE FAMILY DWELLINGS,1,949.0,25.0,,A5,19-30 81ST STREET,,11370.0,1.0,0.0,1.0,1800.0,1224.0,1945.0,1.0,A5,780000.0,2023-07-28
4.0,AIRPORT LA GUARDIA,01 ONE FAMILY DWELLINGS,1,949.0,27.0,,A5,19-34 81ST STREET,,11370.0,1.0,0.0,1.0,1800.0,1224.0,1945.0,1.0,A5,820000.0,2023-06-15
4.0,AIRPORT LA GUARDIA,01 ONE FAMILY DWELLINGS,1,949.0,38.0,,A5,19-56 81ST STREET,,11370.0,1.0,0.0,1.0,1800.0,1224.0,1945.0,1.0,A5,0.0,2023-05-23
4.0,AIRPORT LA GUARDIA,01 ONE FAMILY DWELLINGS,1,949.0,41.0,,A5,19-62 81 STREET,,11370.0,1.0,0.0,1.0,1800.0,1224.0,1945.0,1.0,A5,725000.0,2023-10-16
4.0,AIRPORT LA GUARDIA,01 ONE FAMILY DWELLINGS,1,949.0,43.0,,A5,19-66 81ST STREET,,11370.0,1.0,0.0,1.0,1800.0,1224.0,1945.0,1.0,A5,820000.0,2023-05-26
4.0,AIRPORT LA GUARDIA,01 ONE FAMILY DWELLINGS,1,976.0,35.0,,A5,2160 81ST STREET,,11370.0,1.0,0.0,1.0,1800.0,1224.0,1950.0,1.0,A5,0.0,2023-12-31
4.0,AIRPORT LA GUARDIA,01 ONE FAMILY DWELLINGS,1,976.0,41.0,,A5,2161 80 STREET,,11370.0,1.0,0.0,1.0,1800.0,1224.0,1950.0,1.0,A5,0.0,2023-03-15
4.0,AIRPORT LA GUARDIA,12 CONDOS - WALKUP APARTMENTS,2,949.0,1013.0,,R2,"19-47 80TH STREET, 1",1,11370.0,1.0,,1.0,,,,2.0,R2,575311.0,2023-11-28
4.0,AIRPORT LA GUARDIA,12 CONDOS - WALKUP APARTMENTS,2,949.0,1021.0,,R2,"19-13 80TH STREET, 1",1,11370.0,1.0,,1.0,,,,2.0,R2,529000.0,2023-08-29
4.0,AIRPORT LA GUARDIA,12 CONDOS - WALKUP APARTMENTS,2,949.0,1032.0,,R2,"80-16 19TH AVENUE, B-2",2,11370.0,1.0,,1.0,,,,2.0,R2,400000.0,2023-03-27
