borough,neighborhood,building_class_category,tax_class_at_present,block,lot,easement,building_class_at_present,address,apartment_number,zip_code,residential_units,commercial_units,total_units,land_square_feet,gross_square_feet,year_built,tax_class_at_time_of_sale,building_class_at_time_of_sale,sale_price,sale_date
2.0,BATHGATE,01 ONE FAMILY DWELLINGS,1,2907.0,24.0,,A1,4090 PARK AVENUE,,10457.0,1.0,0.0,1.0,2500.0,1474.0,1901.0,1.0,A1,0.0,2024-03-28
2.0,BATHGATE,01 ONE FAMILY DWELLINGS,1,3030.0,69.0,,A1,4447 PARK AVENUE,,10457.0,1.0,0.0,1.0,1668.0,1497.0,1899.0,1.0,A1,615000.0,2024-12-12
2.0,BATHGATE,01 ONE FAMILY DWELLINGS,1,3046.0,10.0,,A1,2040 WASHINGTON AVENUE,,10457.0,1.0,0.0,1.0,995.0,1566.0,1899.0,1.0,A1,0.0,2024-11-04
2.0,BATHGATE,01 ONE FAMILY DWELLINGS,1,3046.0,27.0,,A1,2090 WASHINGTON AVENUE,,10457.0,1.0,0.0,1.0,2356.0,2213.0,1901.0,1.0,A1,0.0,2024-06-11
2.0,BATHGATE,01 ONE FAMILY DWELLINGS,1,3046.0,40.0,,A1,2073 BATHGATE AVENUE,,10457.0,1.0,0.0,1.0,1933.0,1344.0,1899.0,1.0,A1,425000.0,2024-06-27
2.0,BATHGATE,01 ONE FAMILY DWELLINGS,1,3047.0,11.0,,A1,482 EAST 181ST STREET,,10457.0,1.0,0.0,1.0,1556.0,1240.0,1901.0,1.0,A1,0.0,2024-06-14
2.0,BATHGATE,01 ONE FAMILY DWELLINGS,1,3050.0,91.0,,A9,503 EAST 182 STREET,,10457.0,1.0,0.0,1.0,1960.0,1705.0,1901.0,1.0,A9,515000.0,2024-04-11
2.0,BATHGATE,01 ONE FAMILY DWELLINGS,1,3053.0,103.0,,A1,2327 BASSFORD AVE,,10458.0,1.0,0.0,1.0,913.0,1248.0,1901.0,1.0,A1,413000.0,2024-08-06
2.0,BATHGATE,02 TWO FAMILY DWELLINGS,1,2904.0,22.0,,B9,454 EAST 172ND ST,,10457.0,2.0,0.0,2.0,1658.0,1428.0,1901.0,1.0,B9,500000.0,2024-02-08
2.0,BATHGATE,02 TWO FAMILY DWELLINGS,1,2912.0,117.0,,B1,1538 WASHINGTON AVENUE,,10457.0,2.0,0.0,2.0,2000.0,2400.0,1993.0,1.0,B1,750000.0,2024-05-24
2.0,BATHGATE,02 TWO FAMILY DWELLINGS,1,2912.0,150.0,,B1,521 EAST 171ST STREET,,10457.0,2.0,0.0,2.0,2000.0,2400.0,1993.0,1.0,B1,835000.0,2024-05-10
2.0,BATHGATE,02 TWO FAMILY DWELLINGS,1,2927.0,124.0,,B1,1487 CROTONA PLACE,,10456.0,2.0,0.0,2.0,1900.0,2394.0,1994.0,1.0,B1,0.0,2024-05-08
2.0,BATHGATE,02 TWO FAMILY DWELLINGS,1,3030.0,202.0,,B3,4465 PARK AVENUE,,10457.0,2.0,0.0,2.0,1569.0,1497.0,1899.0,1.0,B3,380000.0,2024-04-25
2.0,BATHGATE,02 TWO FAMILY DWELLINGS,1,3035.0,46.0,,S2,1967 WASHINGTON AVENUE,,10457.0,2.0,1.0,3.0,2728.0,2946.0,1899.0,1.0,S2,0.0,2024-01-11
2.0,BATHGATE,02 TWO FAMILY DWELLINGS,1,3039.0,42.0,,B1,440 E 186TH ST,,10458.0,2.0,0.0,2.0,2000.0,2112.0,1901.0,1.0,B1,925000.0,2024-12-18
2.0,BATHGATE,02 TWO FAMILY DWELLINGS,1,3048.0,53.0,,S2,4411 3RD AVENUE,,10457.0,2.0,1.0,3.0,2569.0,3750.0,1931.0,1.0,S2,0.0,2024-12-24
2.0,BATHGATE,02 TWO FAMILY DWELLINGS,1,3050.0,64.0,,B2,506 EAST 183,,10458.0,2.0,0.0,2.0,1316.0,2112.0,1901.0,1.0,B2,494529.0,2024-03-28
2.0,BATHGATE,02 TWO FAMILY DWELLINGS,1,3053.0,6.0,,B9,2304 BASSFORD,,10458.0,2.0,0.0,2.0,2129.0,2960.0,1901.0,1.0,B9,1075000.0,2024-12-20
2.0,BATHGATE,02 TWO FAMILY DWELLINGS,1,3053.0,6.0,,B9,2304 BASSFORD AVE,,10458.0,2.0,0.0,2.0,2129.0,2960.0,1901.0,1.0,B9,475000.0,2024-12-18
2.0,BATHGATE,02 TWO FAMILY DWELLINGS,1,3053.0,15.0,,B2,2305 BATHGATE,,10458.0,2.0,0.0,2.0,2358.0,2652.0,1901.0,1.0,B2,0.0,2024-03-19
2.0,BATHGATE,02 TWO FAMILY DWELLINGS,1,3053.0,15.0,,B2,2305 BATHGATE AVENUE,,10458.0,2.0,0.0,2.0,2358.0,2652.0,1901.0,1.0,B2,470000.0,2024-03-14
