borough,neighborhood,building_class_category,tax_class_at_present,block,lot,easement,building_class_at_present,address,apartment_number,zip_code,residential_units,commercial_units,total_units,land_square_feet,gross_square_feet,year_built,tax_class_at_time_of_sale,building_class_at_time_of_sale,sale_price,sale_date
1.0,ALPHABET CITY,03 THREE FAMILY DWELLINGS,1,377.0,10.0,,C0,356 E 8 ST,,10009.0,3.0,0.0,3.0,1804.0,2928.0,1899.0,1.0,C0,2000000.0,2024-03-13
1.0,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,376.0,9.0,,C1,234 E 7TH ST,,10009.0,20.0,0.0,20.0,2059.0,6490.0,1900.0,2.0,C1,5615000.0,2024-05-30
1.0,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,376.0,54.0,,C4,"719 E 6TH STREET, 4C",,10009.0,20.0,0.0,20.0,2302.0,9750.0,1900.0,2.0,C4,168494.0,2024-05-28
1.0,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,385.0,38.0,,C4,"21 AVENUE C, 2B",,10009.0,20.0,2.0,22.0,3315.0,17160.0,1900.0,2.0,C4,163587.0,2024-05-16
1.0,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,385.0,38.0,,C4,"21 AVENUE C, 4A",,10009.0,20.0,2.0,22.0,3315.0,17160.0,1900.0,2.0,C4,116848.0,2024-05-31
1.0,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,385.0,38.0,,C4,"21-23 AVENUE C, 3D",,10009.0,20.0,2.0,22.0,3315.0,17160.0,1900.0,2.0,C4,210326.0,2024-06-25
1.0,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,385.0,38.0,,C4,"21-23 AVENUE C, 4C",,10009.0,20.0,2.0,22.0,3315.0,17160.0,1900.0,2.0,C4,210326.0,2024-05-16
1.0,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2B,389.0,45.0,,C4,631 EAST 6TH STREET,,10009.0,10.0,0.0,10.0,2271.0,6985.0,1900.0,2.0,C4,0.0,2024-02-28
1.0,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2A,391.0,52.0,,C3,315 EAST 8TH STREET,,10009.0,4.0,0.0,4.0,1437.0,3412.0,1900.0,2.0,C3,0.0,2024-07-02
1.0,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,392.0,33.0,,C7,"155 AVENUE C, 4A",,10009.0,17.0,1.0,18.0,1909.0,8441.0,1900.0,2.0,C7,97858.0,2024-09-17
1.0,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2B,398.0,52.0,,C7,174 EAST 2ND STREET,,10009.0,9.0,1.0,10.0,2226.0,5250.0,1900.0,2.0,C7,21990000.0,2024-01-30
1.0,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,398.0,53.0,,C7,170 EAST 2ND STREET,,10009.0,36.0,3.0,39.0,4452.0,17664.0,1900.0,2.0,C7,21990000.0,2024-01-30
1.0,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,401.0,13.0,,C4,506 EAST 6 STREET,,10009.0,14.0,0.0,14.0,2426.0,6825.0,1920.0,2.0,C4,5100000.0,2024-01-12
1.0,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2B,402.0,44.0,,C4,543 EAST 6TH STREET,,10009.0,8.0,1.0,9.0,1820.0,7083.0,1930.0,2.0,C4,0.0,2024-07-25
1.0,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2B,402.0,59.0,,C4,513 EAST 6TH STREET,,10009.0,8.0,1.0,9.0,2115.0,6270.0,1920.0,2.0,C4,0.0,2024-04-11
1.0,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2B,402.0,60.0,,C7,511 EAST 6TH STREET,,10009.0,8.0,1.0,9.0,2150.0,6152.0,1920.0,2.0,C7,3400000.0,2024-12-18
1.0,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2B,402.0,62.0,,C4,507 EAST 6TH STREET,,10009.0,8.0,1.0,9.0,2271.0,6855.0,1920.0,2.0,C4,0.0,2024-04-11
1.0,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2B,402.0,64.0,,C4,503 EAST 6TH STREET,,10009.0,8.0,1.0,9.0,2271.0,7285.0,1920.0,2.0,C4,0.0,2024-04-11
